path,word,token,phrase,upload_date
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Baseball Glove (Alt Extended) 2 2024-1-20 Upload/Documentation/SG ASL Baseball Glove (Alt Extended) 2 2024-1-20.mkv,baseball glove (alt extended) 2,BASEBALL GLOVE (ALT EXTENDED) 2,Baseball Glove (Alt Extended) 2,2024-1-20
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Baseball Glove (Alt Extended) 2 2024-1-20 Upload/Documentation/SG ASL Baseball Glove (Alt Extended) 2 2024-1-20 CC.mp4,baseball glove (alt extended) 2,BASEBALL GLOVE (ALT EXTENDED) 2,Baseball Glove (Alt Extended) 2,2024-1-20
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Baseball Glove (Alt Extended) 2 2024-1-20 Upload/Documentation/SG ASL Baseball Glove (Alt Extended) 2 2024-1-20 GIF.gif,baseball glove (alt extended) 2,BASEBALL GLOVE (ALT EXTENDED) 2,Baseball Glove (Alt Extended) 2,2024-1-20
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Battery (Alt) 2024-2-7 Upload/Documentation/SG ASL Battery (Alt) 2024-2-7 CC.mp4,battery (alt),BATTERY (ALT),Battery (Alt),2024-2-7
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Battery (Alt) 2024-2-7 Upload/Documentation/SG ASL Battery (Alt) 2024-2-7.mkv,battery (alt),BATTERY (ALT),Battery (Alt),2024-2-7
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Battery (Alt) 2024-2-7 Upload/Documentation/SG ASL Battery (Alt) 2024-2-7 GIF.gif,battery (alt),BATTERY (ALT),Battery (Alt),2024-2-7
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Bring to Me Alt 2024-7-28 Upload/Documentation/SG ASL Bring to Me Alt 2024-7-28 CC.mp4,bring to me alt,BRING TO ME ALT,Bring to Me Alt,2024-7-28
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Bring to Me Alt 2024-7-28 Upload/Documentation/SG ASL Bring to Me Alt 2024-7-28.mkv,bring to me alt,BRING TO ME ALT,Bring to Me Alt,2024-7-28
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Bring to Me Alt 2024-7-28 Upload/Documentation/SG ASL Bring to Me Alt 2024-7-28 GIF.gif,bring to me alt,BRING TO ME ALT,Bring to Me Alt,2024-7-28
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Blow Dry 2024-5-20 Upload/Documentation/SG ASL Blow Dry 2024-5-20 CC.mp4,blow dry,BLOW DRY,Blow Dry,2024-5-20
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Blow Dry 2024-5-20 Upload/Documentation/SG ASL Blow Dry 2024-5-20 GIF.gif,blow dry,BLOW DRY,Blow Dry,2024-5-20
